# Model	: samsara2																																														
# Author	: Benoit Courbaud																																														
# Project	: sam																																														
# Stand date	: 2012																																														
# Initial source	: C:\Users\benoit.courbaud\Capsis4\data\samsara2\DemoFiles\Prenovel\Prenovel01_26_Adrien_Inventory.txt																																														
# File format : 																																															
#    Name	: Chargeur / exporteur d'inventaires Samsara2																																														
#    Class name	: samsara2.extension.ioformat.Samsa2Inventory																																														
#    Version	: 1.0																																														
#    Author	: F. de Coligny																																														
																																															
																																															
# Samsa2InventoryExport																																															
# 																																															
# Key records section																																															
# 																																															
treeRecruitmentDbh = 7.5																																															
date = 2012																																															
cellWidth = 10																																															
plotXMin = 0																																															
plotYMin = 0																																															
plotXMax = 100																																															
plotYMax = 100																																															
plotSlope = 6																																															
plotAspect = 144																																															
bottomAzimut = 270																																															
canopyTop = 40.0																																															
balRadius = 17.0																																															
																																															
																																															
																																															
# Species parameters																																															
# 																																															
# Spec.	Spec.	Spec	Spec	Spec	Growth	Growth	Growth	Growth	Growth	Height	Height	Height	CBHeight	CBHeight	CBRadius	CBRadius	CBRadius	Crown	Crown	Crown	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Sapl.	Mortal.	Mortal.	Mortal.	Mortal.	Mortal.	Mortal.	Storm	Storm	Storm	Quality	Quality	Quality	Quality	Quality
# spId	spName	LatinName	NativeSp	Color	VolRule	LogA	beta	sigmaB	sigmaLbda	muLogK	sigmaLogK	r	muLogK	sigmaLogK	muLogK	sigmaLogK	b	shape	Transmis	HBc/H	RainDensity	repDbh	A	B1	B2	B3	InitialHeight	C1	C2	C3	C4	D1	D2	P1	P2	P3	P4	P5	HarvestDbh	StormP1	StormP2	StormP3	proba_A	proba_B	proba_C	proba_D	proba_T
0	Epicea	Picea_abies	true	#008000	TaperVolume_0.7	-3.58	0.588	0.6	0.1049	3.53	0.1039	0.0767	0.488	0.6164	-0.774	0.1578	0.525	P	0.2	0.23	0	17.5	17.82	4.155	-0.101	0.05	0.1	0.262	0.659	-0.005	0.359	-2.656	-0.009	-3.02	-0.045	0.07	-6	0.0004	300	-1.088	1.21	0.056	0.25	0.25	0.25	0.15	0.1
1	Sapin	Abies_alba	true	#000080	TaperVolume_0.7	-3.58	0.588	0.6	0.1844	3.28	0.1766	0.0846	0.714	0.4615	-0.354	0.1217	0.454	P	0.2	0.23	0	17.5	26.103	5.277	-0.103	0.036	0.1	0.244	0.673	-0.001	0.104	-0.511	-0.01	-3.02	-0.045	0.07	-6	0.0004	300	-1.599	1.47	0.015	0.25	0.25	0.25	0.15	0.1
2	Hetre	Fagus_sylvatica	true	#800000	TaperVolume_0.9	-1.5	0.4	0.6025	0.1844	3.0115	0.1432	0.0996	0.1939	0.6583	-1.086	0.1489	0.725	E	0.2	0.23	0	17.5	29.007	2.575	-0.005	0.02	0.1	0.545	0.627	-0.005	0.358	-1.006	-0.007	-3.02	-0.045	0.07	-6	0.0004	300	-3.057	0.941	0.231	0	0	0.2	0.2	0.6
																																															
# Dead wood																																															
# 																																															
# Log volumes (m3/ha) per Holeksa's dbh and decay classes																																															
