"id_tree";"species";"x";"y";"z";"dbh_cm";"crown_type";"h_m";"hbase_m";"hmax_m";"rn_m";"rs_m";"re_m";"rw_m";"crown_openness";"crown_lad";"added_to_fill"
103;"abies";150.030083314806;13.9489057083696;0;68.43662553;"8E";38.5;16.6;28.2;4.32;4.12;3.7;5.2;0.035;0.6;FALSE
615;"pseudotsuga";51.040541914909;26.0141737716151;0;95.49296586;"8E";50.2;14;33.3;7.01;6.45;5.87;4.15;0.035;0.6;FALSE
102;"pseudotsuga";143.004813999014;6.97283295641332;0;111.7267701;"8E";48.2;10.8;27.1;8.38;6.72;4.69;6.51;0.035;0.6;FALSE
708;"pseudotsuga";27.0182382288571;27.9555458676081;0;116.8197282;"8E";51;15.8;27;7.37;7.43;9.85;5.44;0.035;0.6;FALSE
707;"pseudotsuga";34.0272348350729;25.0154835257427;0;99.94930426;"8E";50.5;16;26.7;6.73;5.16;3.4;5.76;0.035;0.6;FALSE
712;"pseudotsuga";32.998269780686;6.9879703606705;0;112.0450799;"8E";51.4;14.4;26.5;5.02;6.02;5;5.32;0.035;0.6;FALSE
714;"pseudotsuga";27.9870321013215;13.0035748125039;0;99.94930426;"8E";50;15.4;26.2;5.6;5.57;3.12;5.4;0.035;0.6;FALSE
206;"picea";130.021462367566;58.9206200162503;0;46.1549335;"8E";34.4;13.7;26;3.16;2.8;2.93;1.73;0.035;0.6;FALSE
222;"pseudotsuga";134.986152528839;7.948060225687;0;114.591559;"8E";49.9;9.5;24.9;5.83;6.52;6.9;3.15;0.035;0.6;FALSE
608;"picea";48.9856392869865;48.954909923486;0;99.31268449;"8E";44.2;17.1;24.8;4.08;4.42;4.55;3.45;0.035;0.6;FALSE
113;"abies";146.984816013353;50.9874848801291;0;41.06197532;"8E";31;4;24.6;3.43;2.84;3.78;2.05;0.035;0.6;FALSE
312;"picea";105.971911353851;31.9677148659938;0;90.08169779;"8E";41.2;12.6;24;4.87;5.35;3.95;5.55;0.035;0.6;FALSE
522;"pseudotsuga";73.0113488889962;10.9884078707568;0;102.8140932;"8E";49.5;17.1;23.7;6.11;6.11;5.7;5.95;0.035;0.6;FALSE
116;"picea";145.995208210035;60.0158112142628;0;34.37746771;"8E";28.8;16.5;23.6;2.32;1.85;1.55;2.47;0.035;0.6;FALSE
214;"picea";128.996281664243;41.9701331640819;0;48.06479281;"8E";36.5;15;23.5;3.13;2.24;3.59;2.55;0.035;0.6;FALSE
215;"picea";133.026993982844;36.9978743006799;0;49.65634224;"8E";33.9;13.9;23.5;3.6;2.77;3.63;2.56;0.035;0.6;FALSE
110;"picea";143.991015886374;33.9696365790159;0;57.29577951;"8E";33.1;15.7;23.5;5.23;4.72;4.28;4.18;0.035;0.6;FALSE
617;"pseudotsuga";49.046567339122;24.0156579745509;0;78.94085177;"8E";42.9;12.7;23.4;3.05;4.75;4.75;3.01;0.035;0.6;FALSE
4;"picea";166.003072287063;72.9628330754935;0;89.44507802;"8E";41;14.4;23.4;4.02;6.41;6.08;5.46;0.035;0.6;FALSE
104;"abies";154.939521950541;15.9557470777752;0;39.152116;"8E";27.8;6.7;23.2;5.2;4.44;3.57;3.86;0.035;0.6;FALSE
211;"picea";134.944524667132;48.9499902671025;0;55.70423008;"8E";33.5;14.4;23.1;2.1;4.32;4.2;4.52;0.035;0.6;FALSE
5;"picea";164.05640209958;58.0025364480478;0;36.28732702;"8E";30.9;9.3;23.1;3.96;3.89;2.88;3.07;0.035;0.6;FALSE
